code,deeplink_url,product_url,merchant_slug,product_slug,merchant,link_type,product_name,notes
protein-na-chudnutie-gymbeam,https://go.dognet.com/?cid=4101&chid=uZljA1P2&refid=627a5fbacdf29&url=https%3A%2F%2Fgymbeam.sk%2Ftrue-whey-gymbeam.html,https://gymbeam.sk/true-whey-gymbeam.html,gymbeam,gymbeam-true-whey,GymBeam,affiliate,"GymBeam True Whey","Vloz sem Dognet deeplink pre True Whey"
najlepsie-proteiny-2025-gymbeam,https://go.dognet.com/?cid=4101&chid=uZljA1P2&refid=627a5fbacdf29&url=https%3A%2F%2Fgymbeam.sk%2Fjust-whey-gymbeam.html,https://gymbeam.sk/just-whey-gymbeam.html,gymbeam,gymbeam-just-whey,GymBeam,affiliate,"GymBeam Just Whey","Vloz sem Dognet deeplink pre Just Whey"
kreatin-porovnanie-gymbeam,https://go.dognet.com/?cid=4101&chid=uZljA1P2&refid=627a5fbacdf29&url=https%3A%2F%2Fgymbeam.sk%2Fkreatin-monohydrate-gymbeam.html,https://gymbeam.sk/kreatin-monohydrate-gymbeam.html,gymbeam,gymbeam-creatine-monohydrate-real,GymBeam,affiliate,"GymBeam 100% Kreatin monohydrat","Vloz sem Dognet deeplink pre kreatin"
horcik-ktory-je-najlepsi-a-preco-gymbeam,https://go.dognet.com/?cid=4101&chid=uZljA1P2&refid=627a5fbacdf29&url=https%3A%2F%2Fgymbeam.sk%2Fmagnezium-citrat-caps-gymbeam.html,https://gymbeam.sk/magnezium-citrat-caps-gymbeam.html,gymbeam,gymbeam-magnesium-citrate-caps,GymBeam,affiliate,"GymBeam Magnesium Citrate Caps","Vloz sem Dognet deeplink pre horcik"
probiotika-ako-vybrat-gymbeam,https://go.dognet.com/?cid=4101&chid=uZljA1P2&refid=627a5fbacdf29&url=https%3A%2F%2Fgymbeam.sk%2Fprobioten-gymbeam.html,https://gymbeam.sk/probioten-gymbeam.html,gymbeam,gymbeam-probioten,GymBeam,affiliate,"ProbioTen - GymBeam","Vloz sem Dognet deeplink pre probiotika"
pre-workout-ako-vybrat-gymbeam,https://go.dognet.com/?cid=4101&chid=uZljA1P2&refid=627a5fbacdf29&url=https%3A%2F%2Fgymbeam.sk%2Fenjoy-pre-workout-gymbeam.html,https://gymbeam.sk/enjoy-pre-workout-gymbeam.html,gymbeam,gymbeam-enjoy-pre-workout,GymBeam,affiliate,"GymBeam ENJOY Pre-Workout","Vloz sem Dognet deeplink pre pre-workout"
